N.ordine;Larghezza (w);Altezza (h);PESO (p);due date;retinatura r;;;;;
1;44;82;1,00;10;0,14;;;;;
2;44;82;1,00;10;0,2;;;;;
3;49;109;1,00;10;0,2;;;;;
4;49;109;1,00;10;0,25;;;;;
5;49;109;1,00;10;0,25;;;;;
6;45;93;1,00;10;0,2;;;;;
7;49;109;1,00;4;0,25;;;;;
8;49;109;1,00;4;0,25;;;;;
9;49;109;1,00;4;0,3;;;;;
10;49;109;1,00;4;0,3;;;;;
11;45;93;1,00;4;0,2;;;;;
12;45;93;1,00;4;0,16;;;;;
13;45;93;1,00;4;0,14;;;;;
14;45;93;1,00;4;0,2;;;;;
15;19;35;0,75;4;0,2;;;;;
16;19;35;0,75;4;0,14;;;;;
17;19;35;0,75;4;0,25;;;;;
18;19;35;0,75;4;0,25;;;;;
19;19;35;0,75;4;0,25;;;;;
20;19;35;0,75;4;0,25;;;;;
21;19;35;0,75;4;0,2;;;;;
22;14;35;0,75;4;0,16;;;;;
23;14;35;0,75;4;0,16;;;;;
24;15;35;0,75;4;0,2;;;;;
25;15;35;0,75;4;0,3;;;;;
26;15;35;0,75;4;0,3;;;;;
26;12;35;0,75;4;0,3;;;;;
27;12;35;0,75;4;0,2;;;;;
25;12;32;0,75;4;0,2;;;;;
26;12;32;0,75;4;0,16;;;;;
27;12;32;0,75;4;0,14;;;;;
27;12;32;0,75;4;0,2;;;;;
28;12;32;0,75;4;0,2;;;;;
27;14;32;0,75;4;0,16;;;;;
28;14;32;0,75;4;0,16;;;;;
29;14;32;0,75;4;0,3;;;;;
29;14;35;0,75;4;0,3;;;;;
28;14;35;0,75;4;0,3;;;;;
29;14;35;0,75;4;0,3;;;;;
30;14;35;0,75;4;0,3;;;;;
30;12;35;0,75;4;0,3;;;;;
29;12;35;0,75;4;0,3;;;;;
30;12;35;0,75;4;0,3;;;;;
31;12;35;0,75;4;0,3;;;;;
31;12;35;0,75;4;0,3;;;;;
32;12;35;0,75;4;0,25;;;;;
30;11;32;0,75;4;0,25;;;;;
31;11;32;0,75;4;0,3;;;;;
32;11;32;0,75;4;0,3;;;;;
32;11;32;0,75;4;0,25;;;;;
33;11;32;0,75;4;0,3;;;;;
33;13;35;0,75;4;0,2;;;;;
